ADSC 000000000000 6
VTIC 02 J
DATE H180128174015 G
NGTF HC et Week-End U
LTARF HEURE WEEK-END 4
EAST 002050290 !
EASF01 000784280 ?
EASF02 001154049 ;
EASF03 000111961 7
EASF04 000000000 %
EASF05 000000000 &
EASF06 000000000 '
EASF07 000000000 (
EASF08 000000000 )
EASF09 000000000 *
EASF10 000000000 "
EASD01 001010341 *
EASD02 001039949 D
EASD03 000000000 "
EASD04 000000000 #
IRMS1 007 5
URMS1 210 =
PREF 09 H
PCOUP 09 "
SINSTS 01415 Q
SMAXSN H180128132221 05374 ?
SMAXSN-1 H180127195647 04715 /
UMOY1 H180128174000 208 8
STGE 002A4800 D
MSG1 PAS DE MESSAGE <
PRM 00000000000000 :
RELAIS 001 C
NTARF 03 P
NJOURF 01 '
NJOURF+1 00 B
